127.0.0.1 - - [01/Apr/2018:09:19:27 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:20:43 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:20:43 +0800] "GET /o2o/resources/js/shop/shoplist.js HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:20:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:20:46 +0800] "GET /o2o/shopadmin/getshoplist HTTP/1.1" 200 13420
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:54 +0800] "GET /o2o/frontend/index HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:54 +0800] "GET /o2o/resources/img/i.jpg HTTP/1.1" 200 44397
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:55 +0800] "GET /o2o/resources/js/frontend/index.js HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /o2o/frontend/listmainpageinfo HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/shopcategory/meishi.svg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/headtitle/3.jpg HTTP/1.1" 200 733627
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/shopcategory/ershou.svg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/shopcategory/xiuxian.svg HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/headtitle/2.jpg HTTP/1.1" 200 995024
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/shopcategory/peixun.svg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/shopcategory/zulin.svg HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/shopcategory/meirong.svg HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Apr/2018:09:21:56 +0800] "GET /upload/item/headtitle/1.jpg HTTP/1.1" 200 1006922
